,country,corruption,humanFreedom,gdppc,happiness,healthcareRank,safeness
164,Ukraine,32.0,6.86,13110.0,4.875,92.0,2.971
165,United Arab Emirates,69.0,6.06,58753.0,6.561,42.0,1.865
166,United Kingdom,78.0,8.75,44117.0,7.064,13.0,1.667
167,United States of America,67.0,8.73,63416.0,6.951,18.0,2.44
168,Uruguay,73.0,8.36,22459.0,6.431,39.0,1.795
169,Uzbekistan,28.0,4.23,7449.0,6.179,97.0,2.001
170,Vanuatu,45.0,7.69,2586.0,7.066,,
171,Venezuela,14.0,4.03,5178.0,4.892,146.0,2.798
172,Vietnam,39.0,5.9,10869.0,5.411,73.0,1.786
173,Yemen,16.0,4.08,1927.0,3.658,165.0,3.394
174,Zambia,33.0,6.82,3342.0,4.073,123.0,1.841
175,Zimbabwe,23.0,5.6,2622.0,3.145,143.0,2.35
176,Belize,25.0,7.64,6046.0,5.956,95.0,
177,Brunei,48.0,6.46,62371.0,,,
178,Republic of the Congo,21.0,5.55,4188.0,5.342,152.0,2.184
179,Antigua and Barbuda,59.0,7.6,18618.0,,,
180,Guinea-Bissau,21.0,6.63,2348.0,,147.0,2.156
181,Macau,45.0,5.57,56078.0,5.339,,2.01
182,Puerto Rico,67.0,8.73,34025.0,6.951,,2.44
183,San Marino,56.0,8.49,58427.0,6.483,,1.643
184,Palestine,59.0,7.66,40547.0,7.157,,2.552
